Brand,Origin,Characteristics,Preparation Method
SL28,Três Pontas,Caramel,Clever
SL34,São Sebastião do Paraíso,Earthy,French Press
Pacamara,Fazenda Paraíso,Floral,Italiana
Gesha,Fazenda Serrinha,Nutty,Espresso
Maragogipe,Fazenda Serrinha,Bright Acidity,Hario V60
Mundo Novo,Três Pontas,Full Body,Clever
Yellow Bourbon,Itamogi,Smokey,French Press
Red Bourbon,Guaxupé,Full Body,Italiana
Ethiopian Heirloom,Guaxupé,Spicy,Espresso
Villalobos,Fazenda Santa Clara,Caramel,Hario V60
Java,Fazenda Boa Esperança,Nutty,Clever
Blue Mountain,Serra Negra,Smooth Finish,French Press
Kona,Fazenda Monte Verde,Bright Acidity,Italiana
Typica,Fazenda Monte Verde,Nutty,Espresso
Bourbon,Poços de Caldas,Nutty,Hario V60
Caturra,Fazenda Vista Alegre,Smooth Finish,Clever
Catuai,Carmo de Minas,Rich Flavor,French Press
SL28,Lavras,Caramel,Italiana
SL34,Fazenda Serrinha,Caramel,Espresso
Pacamara,São Sebastião do Paraíso,Smooth Finish,Hario V60
Gesha,Araguari,Balanced,Clever
Maragogipe,Fazenda Santa Clara,Caramel,French Press
Mundo Novo,Fazenda São Luiz,Fruity,Italiana
Yellow Bourbon,Lavras,Fruity,Espresso
Red Bourbon,Três Pontas,Sweet Aftertaste,Hario V60
Ethiopian Heirloom,São Sebastião do Paraíso,Chocolatey,Clever
Villalobos,Fazenda Vista Alegre,Nutty,French Press
Java,Varginha,Smooth Finish,Italiana
Blue Mountain,Carmo de Minas,Balanced,Espresso
Kona,Três Pontas,Nutty,Hario V60
Typica,Fazenda Vista Alegre,Caramel,Clever
Bourbon,Fazenda Primavera,Smooth Finish,French Press
Caturra,Poços de Caldas,Spicy,Italiana
Catuai,Fazenda Vista Alegre,Earthy,Espresso
SL28,Fazenda Santa Clara,Sweet Aftertaste,Hario V60
SL34,Três Pontas,Smooth Finish,Clever
Pacamara,Fazenda Santa Clara,Balanced,French Press
Gesha,Fazenda Primavera,Bright Acidity,Italiana
Maragogipe,Santa Rita do Sapucaí,Chocolatey,Espresso
Mundo Novo,Fazenda Primavera,Balanced,Hario V60
Yellow Bourbon,Fazenda Vista Alegre,Smooth Finish,Clever
Red Bourbon,Fazenda Boa Esperança,Rich Flavor,French Press
Ethiopian Heirloom,Fazenda São Luiz,Nutty,Italiana
Villalobos,Fazenda Monte Verde,Smokey,Espresso
Java,Fazenda Vista Alegre,Earthy,Hario V60
Blue Mountain,Poços de Caldas,Nutty,Clever
Kona,São Sebastião do Paraíso,Full Body,French Press
Typica,Carmo de Minas,Full Body,Italiana
Bourbon,Fazenda Serrinha,Fruity,Espresso
Caturra,Patrocínio,Chocolatey,Hario V60
Catuai,Fazenda Boa Esperança,Rich Flavor,Clever
SL28,Araguari,Fruity,French Press
SL34,Itamogi,Spicy,Italiana
Pacamara,Poços de Caldas,Sweet Aftertaste,Espresso
Gesha,Fazenda Vista Alegre,Balanced,Hario V60
Maragogipe,Carmo de Minas,Full Body,Clever
Mundo Novo,Fazenda Monte Verde,Rich Flavor,French Press
Yellow Bourbon,Patrocínio,Fruity,Italiana
Red Bourbon,Fazenda Serrinha,Smooth Finish,Espresso
Ethiopian Heirloom,Três Pontas,Fruity,Hario V60
Villalobos,Fazenda São Luiz,Balanced,Clever
Java,Fazenda Serrinha,Spicy,French Press
Blue Mountain,Poços de Caldas,Full Body,Italiana
Kona,Fazenda Primavera,Floral,Espresso
Typica,Fazenda Santa Clara,Floral,Hario V60
Bourbon,Fazenda Monte Verde,Sweet Aftertaste,Clever
Caturra,São Sebastião do Paraíso,Rich Flavor,French Press
Catuai,Fazenda Primavera,Citrusy,Italiana
SL28,São Sebastião do Paraíso,Rich Flavor,Espresso
SL34,Fazenda Boa Esperança,Balanced,Hario V60
Pacamara,Guaxupé,Earthy,Clever
Gesha,Carmo de Minas,Rich Flavor,French Press
Maragogipe,Três Pontas,Bright Acidity,Italiana
Mundo Novo,Patrocínio,Balanced,Espresso
Yellow Bourbon,Fazenda Boa Esperança,Chocolatey,Hario V60
Red Bourbon,Serra Negra,Chocolatey,Clever
Ethiopian Heirloom,Fazenda Primavera,Smokey,French Press
Villalobos,Fazenda Boa Esperança,Sweet Aftertaste,Italiana
Java,Três Pontas,Sweet Aftertaste,Espresso
Blue Mountain,Três Pontas,Fruity,Hario V60
Kona,Fazenda Santa Clara,Bright Acidity,Clever
Typica,Araguari,Caramel,French Press
Bourbon,Lavras,Earthy,Italiana
Caturra,Varginha,Earthy,Espresso
Catuai,Fazenda Santa Clara,Rich Flavor,Hario V60
SL28,Fazenda São Luiz,Balanced,Clever
SL34,Lavras,Full Body,French Press
Pacamara,Fazenda Primavera,Citrusy,Italiana
Gesha,Fazenda Serrinha,Floral,Espresso
Maragogipe,Serra Negra,Nutty,Hario V60
Mundo Novo,Lavras,Nutty,Clever
Yellow Bourbon,Fazenda Boa Esperança,Full Body,French Press
Red Bourbon,Fazenda Primavera,Full Body,Italiana
Ethiopian Heirloom,Carmo de Minas,Nutty,Espresso
Villalobos,Fazenda Paraíso,Earthy,Hario V60
Java,Poços de Caldas,Balanced,Clever
Blue Mountain,Fazenda Monte Verde,Balanced,French Press
Kona,Fazenda Boa Esperança,Chocolatey,Italiana
Typica,Fazenda Monte Verde,Sweet Aftertaste,Espresso
Bourbon,Guaxupé,Fruity,Hario V60
Caturra,Patrocínio,Smokey,Clever
Catuai,Fazenda Serrinha,Floral,French Press
SL28,Fazenda Vista Alegre,Smooth Finish,Italiana
SL34,Fazenda Primavera,Fruity,Espresso
Pacamara,Fazenda Primavera,Rich Flavor,Hario V60
Gesha,Fazenda Primavera,Earthy,Clever
Maragogipe,Santa Rita do Sapucaí,Full Body,French Press
Mundo Novo,Fazenda Serrinha,Nutty,Italiana
Yellow Bourbon,Fazenda Primavera,Chocolatey,Espresso
Red Bourbon,Fazenda Boa Esperança,Citrusy,Hario V60
Ethiopian Heirloom,Três Pontas,Caramel,Clever
Villalobos,São Sebastião do Paraíso,Sweet Aftertaste,French Press
Java,Lavras,Smokey,Italiana
Blue Mountain,Guaxupé,Spicy,Espresso
Kona,Fazenda Paraíso,Smokey,Hario V60
Typica,Araguari,Rich Flavor,Clever
Bourbon,Santa Rita do Sapucaí,Floral,French Press
Caturra,Araguari,Nutty,Italiana
Catuai,Lavras,Earthy,Espresso
SL28,Fazenda Primavera,Bright Acidity,Hario V60
SL34,Fazenda São Luiz,Sweet Aftertaste,Clever
Pacamara,Fazenda Vista Alegre,Earthy,French Press
Gesha,Patrocínio,Smooth Finish,Italiana
Maragogipe,Fazenda Paraíso,Chocolatey,Espresso
Mundo Novo,Fazenda Paraíso,Balanced,Hario V60
Yellow Bourbon,Itamogi,Balanced,Clever
Red Bourbon,Fazenda Vista Alegre,Floral,French Press
Ethiopian Heirloom,Carmo de Minas,Caramel,Italiana
Villalobos,São Sebastião do Paraíso,Nutty,Espresso
Java,São Sebastião do Paraíso,Chocolatey,Hario V60
Blue Mountain,Patrocínio,Caramel,Clever
Kona,Varginha,Chocolatey,French Press
Typica,Patrocínio,Smokey,Italiana
Bourbon,Patrocínio,Rich Flavor,Espresso
Caturra,Poços de Caldas,Smooth Finish,Hario V60
Catuai,Serra Negra,Citrusy,Clever
SL28,Fazenda Santa Clara,Full Body,French Press
SL34,Fazenda Primavera,Citrusy,Italiana
Pacamara,Santa Rita do Sapucaí,Smooth Finish,Espresso
Gesha,Itamogi,Smokey,Hario V60
Maragogipe,São Sebastião do Paraíso,Full Body,Clever
Mundo Novo,Lavras,Balanced,French Press
Yellow Bourbon,Fazenda Monte Verde,Earthy,Italiana
Red Bourbon,Fazenda Serrinha,Rich Flavor,Espresso
Ethiopian Heirloom,Carmo de Minas,Sweet Aftertaste,Hario V60
Villalobos,São Sebastião do Paraíso,Spicy,Clever
Java,Três Pontas,Smooth Finish,French Press
Blue Mountain,Fazenda Vista Alegre,Caramel,Italiana
Kona,Poços de Caldas,Citrusy,Espresso
Typica,Fazenda Santa Clara,Smokey,Hario V60
Bourbon,Lavras,Balanced,Clever
Caturra,Três Pontas,Smokey,French Press
Catuai,São Sebastião do Paraíso,Spicy,Italiana
SL28,Fazenda Boa Esperança,Smokey,Espresso
SL34,Fazenda São Luiz,Caramel,Hario V60
Pacamara,Araguari,Fruity,Clever
Gesha,Patrocínio,Sweet Aftertaste,French Press
Maragogipe,Poços de Caldas,Smooth Finish,Italiana
Mundo Novo,Itamogi,Balanced,Espresso
Yellow Bourbon,Fazenda Vista Alegre,Citrusy,Hario V60
Red Bourbon,Fazenda Vista Alegre,Fruity,Clever
Ethiopian Heirloom,Fazenda Vista Alegre,Balanced,French Press
Villalobos,Patrocínio,Sweet Aftertaste,Italiana
Java,Araguari,Nutty,Espresso
Blue Mountain,Fazenda Boa Esperança,Earthy,Hario V60
Kona,Carmo de Minas,Floral,Clever
Typica,Varginha,Floral,French Press
Bourbon,Fazenda Boa Esperança,Full Body,Italiana
Caturra,Fazenda Monte Verde,Citrusy,Espresso
Catuai,Santa Rita do Sapucaí,Full Body,Hario V60
SL28,Serra Negra,Floral,Clever
SL34,Fazenda São Luiz,Chocolatey,French Press
Pacamara,Serra Negra,Smooth Finish,Italiana
Gesha,Fazenda Santa Clara,Balanced,Espresso
Maragogipe,Guaxupé,Balanced,Hario V60
Mundo Novo,Itamogi,Rich Flavor,Clever
Yellow Bourbon,Patrocínio,Spicy,French Press
Red Bourbon,Poços de Caldas,Smooth Finish,Italiana
Ethiopian Heirloom,Itamogi,Smokey,Espresso
Villalobos,Santa Rita do Sapucaí,Smokey,Hario V60
Java,São Sebastião do Paraíso,Smooth Finish,Clever
Blue Mountain,Carmo de Minas,Caramel,French Press
Kona,Poços de Caldas,Sweet Aftertaste,Italiana
Typica,Fazenda São Luiz,Balanced,Espresso
Bourbon,Santa Rita do Sapucaí,Bright Acidity,Hario V60
Caturra,Poços de Caldas,Floral,Clever
Catuai,Itamogi,Sweet Aftertaste,French Press
SL28,Fazenda Primavera,Rich Flavor,Italiana
SL34,Lavras,Caramel,Espresso
Pacamara,Fazenda Boa Esperança,Chocolatey,Hario V60
Gesha,Fazenda Santa Clara,Earthy,Clever
Maragogipe,Carmo de Minas,Chocolatey,French Press
Mundo Novo,São Sebastião do Paraíso,Balanced,Italiana
Yellow Bourbon,Fazenda Primavera,Sweet Aftertaste,Espresso
Red Bourbon,Fazenda Paraíso,Full Body,Hario V60
Ethiopian Heirloom,Fazenda Boa Esperança,Chocolatey,Clever
Villalobos,Fazenda Vista Alegre,Earthy,French Press
Java,Araguari,Smooth Finish,Italiana
Blue Mountain,Santa Rita do Sapucaí,Bright Acidity,Espresso
Kona,Fazenda Boa Esperança,Balanced,Hario V60
Typica,Fazenda Primavera,Full Body,Clever
Bourbon,Poços de Caldas,Fruity,French Press
Caturra,Lavras,Floral,Italiana
Catuai,Fazenda Serrinha,Floral,Espresso
SL28,Carmo de Minas,Nutty,Hario V60
SL34,Varginha,Full Body,Clever
Pacamara,Três Pontas,Sweet Aftertaste,French Press
Gesha,Lavras,Rich Flavor,Italiana
Maragogipe,Itamogi,Spicy,Espresso
Mundo Novo,São Sebastião do Paraíso,Earthy,Hario V60
Yellow Bourbon,Fazenda Monte Verde,Earthy,Clever
Red Bourbon,Fazenda São Luiz,Floral,French Press
Ethiopian Heirloom,Fazenda Paraíso,Rich Flavor,Italiana
Villalobos,Lavras,Citrusy,Espresso
Java,Fazenda Vista Alegre,Balanced,Hario V60
Blue Mountain,Lavras,Caramel,Clever
Kona,Três Pontas,Citrusy,French Press
Typica,Santa Rita do Sapucaí,Spicy,Italiana
Bourbon,Carmo de Minas,Citrusy,Espresso
Caturra,Fazenda Santa Clara,Caramel,Hario V60
Catuai,Fazenda Santa Clara,Spicy,Clever
SL28,Guaxupé,Chocolatey,French Press
SL34,Serra Negra,Smooth Finish,Italiana
Pacamara,Varginha,Citrusy,Espresso
Gesha,São Sebastião do Paraíso,Rich Flavor,Hario V60
Maragogipe,Fazenda Monte Verde,Caramel,Clever
Mundo Novo,Fazenda Serrinha,Fruity,French Press
Yellow Bourbon,Três Pontas,Bright Acidity,Italiana
Red Bourbon,Fazenda Santa Clara,Nutty,Espresso
Ethiopian Heirloom,Fazenda São Luiz,Rich Flavor,Hario V60
Villalobos,Varginha,Nutty,Clever
Java,Itamogi,Spicy,French Press
Blue Mountain,Patrocínio,Bright Acidity,Italiana
Kona,Poços de Caldas,Sweet Aftertaste,Espresso
Typica,Itamogi,Earthy,Hario V60
Bourbon,Carmo de Minas,Rich Flavor,Clever
Caturra,Fazenda Paraíso,Earthy,French Press
Catuai,Três Pontas,Balanced,Italiana
SL28,Fazenda São Luiz,Nutty,Espresso
SL34,Três Pontas,Chocolatey,Hario V60
Pacamara,Santa Rita do Sapucaí,Caramel,Clever
Gesha,Fazenda Vista Alegre,Caramel,French Press
Maragogipe,Fazenda Santa Clara,Floral,Italiana
Mundo Novo,Fazenda Boa Esperança,Rich Flavor,Espresso
Yellow Bourbon,Fazenda Serrinha,Citrusy,Hario V60
Red Bourbon,Poços de Caldas,Fruity,Clever
Ethiopian Heirloom,São Sebastião do Paraíso,Earthy,French Press
Villalobos,Fazenda Paraíso,Rich Flavor,Italiana
Java,Fazenda Paraíso,Bright Acidity,Espresso
Blue Mountain,Serra Negra,Caramel,Hario V60
Kona,Poços de Caldas,Caramel,Clever
Typica,Fazenda São Luiz,Spicy,French Press
Bourbon,Itamogi,Citrusy,Italiana
Caturra,São Sebastião do Paraíso,Fruity,Espresso
Catuai,Fazenda Paraíso,Chocolatey,Hario V60
SL28,Lavras,Bright Acidity,Clever
SL34,Itamogi,Floral,French Press
Pacamara,Serra Negra,Rich Flavor,Italiana
Gesha,Fazenda Vista Alegre,Earthy,Espresso
Maragogipe,São Sebastião do Paraíso,Citrusy,Hario V60
Mundo Novo,São Sebastião do Paraíso,Bright Acidity,Clever
Yellow Bourbon,Patrocínio,Smokey,French Press
Red Bourbon,Fazenda Primavera,Bright Acidity,Italiana
Ethiopian Heirloom,Fazenda Monte Verde,Smokey,Espresso
Villalobos,Fazenda Serrinha,Citrusy,Hario V60
Java,Patrocínio,Citrusy,Clever
Blue Mountain,Fazenda Santa Clara,Smokey,French Press
Kona,Patrocínio,Spicy,Italiana
Typica,Fazenda Monte Verde,Earthy,Espresso
Bourbon,Três Pontas,Chocolatey,Hario V60
Caturra,Três Pontas,Chocolatey,Clever
Catuai,Fazenda Vista Alegre,Nutty,French Press
SL28,Serra Negra,Floral,Italiana
SL34,Poços de Caldas,Sweet Aftertaste,Espresso
Pacamara,São Sebastião do Paraíso,Citrusy,Hario V60
Gesha,Serra Negra,Citrusy,Clever
Maragogipe,Serra Negra,Spicy,French Press
Mundo Novo,São Sebastião do Paraíso,Nutty,Italiana
Yellow Bourbon,Fazenda Serrinha,Nutty,Espresso
Red Bourbon,Fazenda Monte Verde,Bright Acidity,Hario V60
Ethiopian Heirloom,Santa Rita do Sapucaí,Full Body,Clever
Villalobos,Patrocínio,Spicy,French Press
Java,Guaxupé,Citrusy,Italiana
Blue Mountain,Patrocínio,Smooth Finish,Espresso
Kona,Guaxupé,Fruity,Hario V60
Typica,Fazenda Monte Verde,Caramel,Clever
Bourbon,Guaxupé,Full Body,French Press
Caturra,Santa Rita do Sapucaí,Rich Flavor,Italiana
Catuai,Fazenda Paraíso,Rich Flavor,Espresso
SL28,Itamogi,Smooth Finish,Hario V60
SL34,Guaxupé,Floral,Clever
Pacamara,Santa Rita do Sapucaí,Earthy,French Press
Gesha,Fazenda Santa Clara,Sweet Aftertaste,Italiana
Maragogipe,Fazenda Monte Verde,Smokey,Espresso
Mundo Novo,Araguari,Smokey,Hario V60
Yellow Bourbon,Patrocínio,Smooth Finish,Clever
Red Bourbon,Fazenda Paraíso,Spicy,French Press
Ethiopian Heirloom,Lavras,Spicy,Italiana
Villalobos,Santa Rita do Sapucaí,Chocolatey,Espresso
Java,Guaxupé,Smooth Finish,Hario V60
Blue Mountain,Fazenda Vista Alegre,Bright Acidity,Clever
Kona,Fazenda Paraíso,Nutty,French Press
Typica,Poços de Caldas,Caramel,Italiana
Bourbon,Santa Rita do Sapucaí,Spicy,Espresso
Caturra,Santa Rita do Sapucaí,Caramel,Hario V60
Catuai,Serra Negra,Nutty,Clever
SL28,Fazenda Primavera,Full Body,French Press
SL34,Itamogi,Citrusy,Italiana
Pacamara,Poços de Caldas,Balanced,Espresso
Gesha,Fazenda Monte Verde,Smooth Finish,Hario V60
Maragogipe,Araguari,Earthy,Clever
Mundo Novo,Fazenda Boa Esperança,Bright Acidity,French Press
Yellow Bourbon,Carmo de Minas,Caramel,Italiana
Red Bourbon,Araguari,Smokey,Espresso
Ethiopian Heirloom,Varginha,Caramel,Hario V60
Villalobos,Fazenda Monte Verde,Rich Flavor,Clever
Java,Poços de Caldas,Chocolatey,French Press
Blue Mountain,Fazenda Primavera,Smokey,Italiana
Kona,Fazenda Serrinha,Chocolatey,Espresso
Typica,Fazenda São Luiz,Citrusy,Hario V60
Bourbon,Fazenda São Luiz,Bright Acidity,Clever
Caturra,Santa Rita do Sapucaí,Caramel,French Press
Catuai,Santa Rita do Sapucaí,Floral,Italiana
SL28,Itamogi,Chocolatey,Espresso
SL34,Patrocínio,Full Body,Hario V60
Pacamara,Fazenda Primavera,Rich Flavor,Clever
Gesha,Fazenda Boa Esperança,Fruity,French Press
Maragogipe,Lavras,Smokey,Italiana
Mundo Novo,Três Pontas,Floral,Espresso
Yellow Bourbon,Três Pontas,Bright Acidity,Hario V60
Red Bourbon,Lavras,Floral,Clever
Ethiopian Heirloom,Fazenda Serrinha,Smooth Finish,French Press
Villalobos,Fazenda Boa Esperança,Sweet Aftertaste,Italiana
Java,Varginha,Bright Acidity,Espresso
Blue Mountain,Fazenda Monte Verde,Caramel,Hario V60
Kona,Carmo de Minas,Citrusy,Clever
Typica,Fazenda Vista Alegre,Fruity,French Press
Bourbon,Fazenda Boa Esperança,Bright Acidity,Italiana
Caturra,Santa Rita do Sapucaí,Floral,Espresso
Catuai,Serra Negra,Earthy,Hario V60
SL28,Fazenda Boa Esperança,Earthy,Clever
SL34,Santa Rita do Sapucaí,Caramel,French Press
Pacamara,Três Pontas,Smokey,Italiana
Gesha,São Sebastião do Paraíso,Caramel,Espresso
Maragogipe,Fazenda Boa Esperança,Floral,Hario V60
Mundo Novo,Patrocínio,Earthy,Clever
Yellow Bourbon,Fazenda Primavera,Balanced,French Press
Red Bourbon,Fazenda Santa Clara,Fruity,Italiana
Ethiopian Heirloom,Fazenda Vista Alegre,Smooth Finish,Espresso
Villalobos,Fazenda Monte Verde,Full Body,Hario V60
Java,Fazenda Monte Verde,Spicy,Clever
Blue Mountain,Fazenda Serrinha,Earthy,French Press
Kona,Carmo de Minas,Spicy,Italiana
Typica,Araguari,Balanced,Espresso
Bourbon,São Sebastião do Paraíso,Balanced,Hario V60
Caturra,Fazenda Serrinha,Smokey,Clever
Catuai,Carmo de Minas,Smokey,French Press
SL28,Guaxupé,Full Body,Italiana
SL34,Patrocínio,Spicy,Espresso
Pacamara,Fazenda Primavera,Balanced,Hario V60
Gesha,Fazenda Serrinha,Smokey,Clever
Maragogipe,Varginha,Rich Flavor,French Press
Mundo Novo,Fazenda Monte Verde,Chocolatey,Italiana
Yellow Bourbon,Itamogi,Balanced,Espresso
Red Bourbon,Carmo de Minas,Caramel,Hario V60
Ethiopian Heirloom,Poços de Caldas,Fruity,Clever
Villalobos,São Sebastião do Paraíso,Citrusy,French Press
Java,Fazenda São Luiz,Nutty,Italiana
Blue Mountain,Serra Negra,Full Body,Espresso
Kona,Poços de Caldas,Bright Acidity,Hario V60
Typica,São Sebastião do Paraíso,Bright Acidity,Clever
Bourbon,Patrocínio,Full Body,French Press
Caturra,Lavras,Sweet Aftertaste,Italiana
Catuai,Fazenda Paraíso,Nutty,Espresso
SL28,Varginha,Smokey,Hario V60
SL34,Lavras,Caramel,Clever
Pacamara,Fazenda Boa Esperança,Sweet Aftertaste,French Press
Gesha,Patrocínio,Spicy,Italiana
Maragogipe,Fazenda Vista Alegre,Balanced,Espresso
Mundo Novo,Fazenda Serrinha,Nutty,Hario V60
Yellow Bourbon,São Sebastião do Paraíso,Smokey,Clever
Red Bourbon,Fazenda Vista Alegre,Caramel,French Press
Ethiopian Heirloom,Fazenda Vista Alegre,Nutty,Italiana
Villalobos,Fazenda Paraíso,Nutty,Espresso
Java,Guaxupé,Citrusy,Hario V60
Blue Mountain,Fazenda Primavera,Full Body,Clever
Kona,São Sebastião do Paraíso,Spicy,French Press
Typica,Varginha,Rich Flavor,Italiana
Bourbon,Itamogi,Caramel,Espresso
Caturra,Fazenda Serrinha,Smokey,Hario V60
Catuai,Fazenda Vista Alegre,Smokey,Clever
SL28,Varginha,Earthy,French Press
SL34,Guaxupé,Floral,Italiana
Pacamara,Fazenda Serrinha,Balanced,Espresso
Gesha,Guaxupé,Floral,Hario V60
Maragogipe,Fazenda Boa Esperança,Fruity,Clever
Mundo Novo,Serra Negra,Balanced,French Press
Yellow Bourbon,Varginha,Nutty,Italiana
Red Bourbon,Araguari,Nutty,Espresso
Ethiopian Heirloom,Fazenda Primavera,Smokey,Hario V60
Villalobos,Fazenda Boa Esperança,Balanced,Clever
Java,Itamogi,Rich Flavor,French Press
Blue Mountain,Santa Rita do Sapucaí,Full Body,Italiana
Kona,Fazenda Serrinha,Smokey,Espresso
Typica,Araguari,Smooth Finish,Hario V60
Bourbon,Patrocínio,Caramel,Clever
Caturra,Fazenda Boa Esperança,Bright Acidity,French Press
Catuai,Itamogi,Spicy,Italiana
SL28,Araguari,Earthy,Espresso
SL34,Araguari,Citrusy,Hario V60
Pacamara,Santa Rita do Sapucaí,Earthy,Clever
Gesha,Fazenda Santa Clara,Balanced,French Press
Maragogipe,Três Pontas,Nutty,Italiana
Mundo Novo,Guaxupé,Fruity,Espresso
Yellow Bourbon,Itamogi,Fruity,Hario V60
Red Bourbon,São Sebastião do Paraíso,Rich Flavor,Clever
Ethiopian Heirloom,São Sebastião do Paraíso,Balanced,French Press
Villalobos,Fazenda Monte Verde,Citrusy,Italiana
Java,Fazenda Boa Esperança,Balanced,Espresso
Blue Mountain,Fazenda São Luiz,Full Body,Hario V60
Kona,Fazenda Santa Clara,Sweet Aftertaste,Clever
Typica,Fazenda Serrinha,Chocolatey,French Press
Bourbon,Carmo de Minas,Nutty,Italiana
Caturra,São Sebastião do Paraíso,Earthy,Espresso
Catuai,Patrocínio,Rich Flavor,Hario V60
SL28,Santa Rita do Sapucaí,Spicy,Clever
SL34,Serra Negra,Balanced,French Press
Pacamara,Fazenda Boa Esperança,Fruity,Italiana
Gesha,Carmo de Minas,Earthy,Espresso
Maragogipe,Poços de Caldas,Bright Acidity,Hario V60
Mundo Novo,São Sebastião do Paraíso,Chocolatey,Clever
Yellow Bourbon,Itamogi,Smokey,French Press
Red Bourbon,Fazenda São Luiz,Rich Flavor,Italiana
Ethiopian Heirloom,Itamogi,Sweet Aftertaste,Espresso
Villalobos,Fazenda Monte Verde,Citrusy,Hario V60
Java,Fazenda Vista Alegre,Balanced,Clever
Blue Mountain,Três Pontas,Spicy,French Press
Kona,Guaxupé,Sweet Aftertaste,Italiana
Typica,Fazenda Paraíso,Chocolatey,Espresso
Bourbon,Fazenda Vista Alegre,Citrusy,Hario V60
Caturra,Lavras,Bright Acidity,Clever
Catuai,Varginha,Earthy,French Press
SL28,Patrocínio,Bright Acidity,Italiana
SL34,Patrocínio,Nutty,Espresso
Pacamara,Três Pontas,Smokey,Hario V60
Gesha,Fazenda Boa Esperança,Fruity,Clever
Maragogipe,Itamogi,Nutty,French Press
Mundo Novo,Guaxupé,Spicy,Italiana
Yellow Bourbon,Lavras,Smokey,Espresso
Red Bourbon,Fazenda Serrinha,Balanced,Hario V60
Ethiopian Heirloom,Fazenda Primavera,Caramel,Clever
Villalobos,Varginha,Citrusy,French Press
Java,Patrocínio,Smokey,Italiana
Blue Mountain,Lavras,Spicy,Espresso
Kona,Varginha,Sweet Aftertaste,Hario V60
Typica,Fazenda Santa Clara,Caramel,Clever
Bourbon,Fazenda Primavera,Floral,French Press
Caturra,Serra Negra,Balanced,Italiana
Catuai,Serra Negra,Smokey,Espresso
SL28,Fazenda Serrinha,Smooth Finish,Hario V60
SL34,Fazenda Serrinha,Fruity,Clever
Pacamara,Itamogi,Smooth Finish,French Press
